id,symbol,exchange,type,step,side,trade
0,SPXW  220627C03785000,SMART,OPT,0.1,buy,True
1,SPXW  220627C03655000,SMART,OPT,0.1,buy,True
2,SPXW  220627C03660000,SMART,OPT,0.1,buy,True
3,SPXW  220627C03665000,SMART,OPT,0.1,buy,True
4,SPXW  220627C03670000,SMART,OPT,0.1,buy,True
5,SPXW  220627C03675000,SMART,OPT,0.1,buy,True
6,SPXW  220622C03785000,SMART,OPT,0.1,buy,True
7,SPXW  220622C03785000,SMART,OPT,0.1,buy,True
8,SPXW  220627C03690000,SMART,OPT,0.1,buy,True
9,SPXW  220627C03695000,SMART,OPT,0.1,buy,True
0,SPXW  220627P03785000,SMART,OPT,0.1,buy,True
1,SPXW  220627P03655000,SMART,OPT,0.1,buy,True
2,SPXW  220627P03660000,SMART,OPT,0.1,buy,True
3,SPXW  220627P3665000,SMART,OPT,0.1,buy,True
4,SPXW  220627P3670000,SMART,OPT,0.1,buy,True
5,SPXW  220627P3675000,SMART,OPT,0.1,buy,True
6,SPXW  220622P03785000,SMART,OPT,0.1,buy,True
7,SPXW  220622P03785000,SMART,OPT,0.1,buy,True
8,SPXW  220627P03690000,SMART,OPT,0.1,buy,True
9,SPXW  220627P03695000,SMART,OPT,0.1,buy,True